"name","population","hhd_income","uninsured_pct","disabled_pct","married_pct","employed_pct","notcitizen_pct","hispanic_pct","white_pct","black_pct","racial_majority"
"Baldwin County, Alabama",220911,220247,8.11548542173092,14.440657097202,63.1100307363599,56.571198355899,2.94553010035716,4.7607407508001,83.1149195829995,7.99779096559248,"white"
"Calhoun County, Alabama",111075,109308,11.0546927751519,20.048615800135,57.0533423362593,59.1879360792257,1.1334683772226,4.08912896691425,71.1834346162503,22.2030159801936,"white"
"Cullman County, Alabama",82841,82467,10.5551598845982,17.4792675124636,62.629615769969,58.1934066464673,1.68515590106348,NA,91.597155997634,NA,"white"
"DeKalb County, Alabama",70392,70154,14.0967723604955,10.7725309694283,69.7437208773724,56.9865893851574,6.79622684395954,NA,80.2832708262303,NA,"white"
"Elmore County, Alabama",75409,75409,5.96613136363034,12.8724688034585,67.175005635932,58.453235024997,2.0872840111923,NA,75.1886379609861,19.9565038655863,"white"
"Etowah County, Alabama",101470,100999,13.1910909628462,15.7130186261949,56.0204986695575,58.2290332117867,0.904700896816793,4.16871981866562,77.3529121907953,15.5691337341086,"white"
"Houston County, Alabama",104604,104377,12.8522809835188,15.9687966043364,53.4109594279377,57.577148101411,1.56972964704983,3.4367710603801,64.7671217161868,27.9387021528813,"white"
"Jefferson County, Alabama",652965,642964,9.44154740300016,14.8919161057637,51.981346626542,59.6191220050079,2.2452964553996,4.10741770232708,49.3651267678972,43.2539263207063,"white"
"Lauderdale County, Alabama",91845,90865,11.6990581958735,14.9567205618161,60.771952746475,57.5066688442485,0.66851761119277,NA,84.5032391529207,11.40617344439,"white"
"Lee County, Alabama",163952,158336,7.08927003025276,11.514345662145,63.7247487069386,63.7442666146189,3.64191958622036,3.71572167463648,67.6405289352981,22.7334829706255,"white"
"Limestone County, Alabama",95533,95501,11.684967498142,14.5195900892885,70.6122491704437,58.4216972145751,0.599792741775093,6.40092952173594,76.0742361278302,13.5335433829148,"white"
"Madison County, Alabama",366888,362024,7.60586336974772,13.2530908615163,61.0014500337978,61.3031769913434,2.53074507751684,5.22720830335143,64.2449466867273,24.627406729029,"white"
"Marshall County, Alabama",95953,95745,11.6682125624003,13.8025908517712,64.332537804967,56.7006763728075,5.70070763811449,14.873948704053,79.4430606651173,3.98111575458818,"white"
"Mobile County, Alabama",409112,406256,11.3257494280295,13.4772385068148,53.8564011810947,58.737705078316,1.13831909110464,3.0414654177829,56.3019417665578,36.3844130702595,"white"
"Montgomery County, Alabama",220235,216789,9.48713873816605,12.9416305310237,45.8805366994347,58.3712852180625,2.79746634277022,3.6370240879061,32.1670034281563,58.7299929620632,"white"
"Morgan County, Alabama",117792,117661,10.2044281445259,14.9466856832383,58.7510187449063,58.0973240967129,3.45184732409671,8.88430453681065,75.0076405867971,13.2852825319207,"white"
"St. Clair County, Alabama",87361,87300,6.02213802497682,15.6339785487803,76.8809880839276,59.1568319959707,NA,NA,86.8511120522888,NA,"white"
"Shelby County, Alabama",215918,214381,6.66503024296261,11.31494363601,71.0635519039635,59.1317074074417,3.09700904973184,5.85175853796349,77.2987893552182,12.262988727202,"white"
"Talladega County, Alabama",76722,76141,10.1431141002581,26.2010896483408,49.8787831391257,57.8152290086286,0.907171345898178,2.31876124188629,62.3589061807565,32.8667135893225,"white"
"Tuscaloosa County, Alabama",207872,199494,7.14670566502463,13.0734298029557,55.0559959975369,63.0359067118227,2.27110914408867,3.99669027093596,60.7296798029557,32.6984875307882,"white"
"Walker County, Alabama",62896,62570,18.2698422793182,27.63450775884,60.7002035105571,57.8240269651488,NA,NA,88.8100992113966,NA,"white"
"Anchorage Municipality, Alaska",276960,275449,10.6242778740612,10.9806470248411,58.6322934719815,62.0771952628538,3.80813113807048,9.28726169844021,56.7110774119006,4.93536972848065,"white"
"Fairbanks North Star Borough, Alaska",89353,88126,8.1519367005025,10.1899208756281,65.1125311964903,60.854140319855,1.96300068268553,NA,68.5114098015735,NA,"white"
"Matanuska-Susitna Borough, Alaska",105897,105448,13.6746083458455,12.4394458766537,67.4183404629026,58.5616211979565,1.32770522299971,5.21355656911905,78.811486633238,NA,"white"
"Apache County, Arizona",71242,70668,31.4421268352938,14.8999185873502,43.8449229387159,54.9395019791696,NA,6.26035203952724,17.8813059711968,NA,"white"
"Cochise County, Arizona",118090,117664,7.31645355237531,17.6509441951054,59.9983063764925,51.9002455754086,5.08256414599035,36.1427724616818,55.0021170293844,NA,"white"
"Coconino County, Arizona",142729,127877,11.9625303897596,13.4548690175087,48.8534215191026,63.4804419564349,1.84475474500627,14.2767062054663,54.2426556621289,NA,"white"
"Maricopa County, Arizona",4452661,4422563,11.4933519529109,11.3989140426365,58.7129583860078,59.4794438651404,8.43610146831299,31.4633429313393,54.3370582220385,5.89384639881635,"white"
"Mohave County, Arizona",208393,208183,7.8870211571406,21.4426588225132,57.6617256817647,50.9023815579218,2.64212329588806,16.6003656552763,76.8499901628174,NA,"white"
"Navajo County, Arizona",108425,107929,17.4673737606641,19.1487203135808,55.7537468296057,52.5819691030666,1.15102605487664,10.4569979248328,42.064099608024,NA,"white"
"Pima County, Arizona",1023741,1008749,10.2664638810012,15.4794034819354,53.6793974257161,57.0014290723923,7.30292134436347,37.9449489665843,51.1597171550226,3.50547648282134,"white"
"Pinal County, Arizona",436020,435028,9.40277968900509,15.4320902710885,65.2369157378102,53.3067290491262,4.19866061189854,29.7055180955002,57.6794642447594,4.2656300169717,"white"
"Yavapai County, Arizona",233842,230061,10.7085125854209,17.8090334499363,60.6131490493581,49.4667339485636,3.69309191676431,14.6761488526441,80.0493495608146,0.848863762711574,"white"
"Yuma County, Arizona",206195,205030,14.0110089963384,12.9605470549722,57.896166250394,52.3766337690051,14.4358495598826,65.3313610902301,29.674337399064,NA,"white"
"Benton County, Arkansas",277490,276062,9.94990810479657,11.5492450178385,69.7632347111608,59.0230278568597,7.60640023063894,17.1447619734044,72.5651374824318,NA,"white"
"Craighead County, Arkansas",109086,106271,8.73805987936124,15.8801312725739,56.1602772124746,61.9456208862732,2.22760024201089,NA,74.7410300130173,NA,"white"
"Faulkner County, Arkansas",124135,120294,9.44213960607403,12.1069803037016,57.4930519192814,62.5383654891852,0.728239416764007,NA,79.9677770169573,12.0280339952471,"white"
